n,|A|,|A+A|,delta,dup_density
101,6901,22066665,0.03664628743094236,0.07342684136798991
102,6970,22527379,0.036291443756702735,0.07271592683523687
103,7141,23656170,0.03609787025231517,0.07232564868994194
104,7314,24825137,0.0359318724455831,0.07199062612904848
105,7385,25327889,0.035593815163584806,0.0713133834235239
106,7561,26560461,0.035402217586781415,0.07092731213267767
107,7739,27835477,0.035239752153709836,0.07059959739471845
108,7812,28382759,0.03491734786950584,0.06995374927853056
109,7993,29725305,0.034728240018724,0.06957288528137627
110,8176,31112625,0.034569447090620826,0.06925273313266866
111,8251,31707001,0.03426165874555063,0.06863619639106598
112,8437,33165894,0.03407543312783146,0.06826130109019057
113,8625,34671953,0.03392039655534552,0.0679488570113274
114,8702,35316059,0.03362627389567096,0.06735972318513817
115,8893,36897852,0.033443225440877244,0.06699136582993509
116,9086,38529265,0.03329198493578785,0.06668668980446095
117,9165,39225809,0.0330106560067907,0.06612320800834318
118,9361,40937235,0.032831001064142266,0.06576180323893094
119,9559,42700797,0.032683561836044796,0.06546488861731217
120,9640,43452559,0.03241422539212479,0.06492545021887418
121,9841,45300531,0.032238117002314236,0.06457128823811713
122,10044,47203217,0.03209445742595582,0.0642820767319662
123,10127,48013049,0.03183637615651425,0.0637652016858254
124,10333,50004660,0.03166391636956399,0.06341847258500188
125,10541,52053625,0.0315239940974874,0.06313686620785708
126,10626,52924451,0.03127648857769399,0.06264119085848806
127,10837,55066974,0.03110773841703713,0.06230200428592571
128,11050,57269553,0.030971495260129808,0.06202787487547451
129,11137,58204369,0.030733938544901793,0.06155214106205266
130,11353,60505257,0.03056892608832347,0.06122054216676702
131,11571,62868965,0.03043629191646773,0.06095373898469549
132,11660,63870839,0.030208104704771265,0.06049678429939678
133,11881,66337725,0.030046831652900324,0.06017276668374158
134,12104,68870257,0.029917727513783385,0.059913122482748306
135,12195,69942329,0.029698373818506534,0.05947387155078504
136,12421,72583026,0.02954082084418805,0.059157387812857794
137,12649,75292257,0.02941516145648073,0.05890472367794858
138,12742,76437739,0.0292041447225414,0.05848218034287413
139,12973,79260240,0.029050275834228076,0.058173150670177406
140,13206,82154225,0.02892797157882769,0.05792727987733755
141,13301,83376401,0.028724831198853974,0.05752052018883727
142,13537,86388879,0.0285745973040851,0.05721883937145812
143,13775,89475853,0.028455555811739752,0.05697957045684016
144,13872,90778079,0.028259863994617454,0.056587736370407746
145,14113,93988887,0.02811320581267186,0.05629327952872863
