n,|A|,|A+A|,delta,dup_density
101,9301,42007003,0.014418190625924004,0.028940784994994445
102,9495,43788766,0.014294782792195999,0.028691862386668283
103,9691,45626665,0.014173121255695852,0.028446495684884134
104,9889,47521867,0.014053184196333779,0.028204638729533823
105,10089,49475551,0.013934949118373289,0.02796624413384898
106,10291,51488908,0.013818392975471971,0.02773126352712438
107,10495,53563141,0.013703492282107158,0.027499647770715438
108,10701,55699465,0.013590223212796078,0.02727134715008986
109,10909,57899107,0.01347856169036994,0.027046311545416254
110,11010,58991019,0.013356126582967677,0.02680064547788105
111,11221,61288317,0.01324034917692274,0.026567449316387465
112,11434,63650965,0.013134930883342045,0.026355015254942358
113,11649,66081312,0.013030942606655436,0.02614548505148999
114,11866,68580639,0.012928364432664558,0.02593881728457026
115,12085,71150239,0.012827176278084024,0.02573497026653077
116,12306,73791417,0.01272735794687128,0.025533902152303233
117,12529,76505490,0.012628889180469496,0.025335571036249373
118,12754,79293787,0.012531749702559592,0.025139935038250887
119,12981,82157649,0.012435919258858128,0.02494695238010127
120,13210,85098429,0.012341377652444842,0.024756581453152127
121,13321,86552641,0.012239454706323266,0.024552135736816125
122,13553,89597234,0.012220295910784384,0.02451256757840649
123,13787,92721709,0.012199909502966596,0.024470576199216776
124,14023,95927455,0.012178368308431302,0.02442630615931719
125,14261,99215873,0.01215574123375084,0.024379894227250135
126,14501,102588376,0.012132093494204873,0.024331469833052663
127,14743,106046389,0.012107486826833148,0.024281155492132542
128,14987,109591349,0.012081979689886614,0.024229067202072418
129,15233,113224705,0.012055627449637427,0.024175314814274245
130,15481,116947918,0.012028482555433706,0.02412000238220762
131,15731,120761181,0.012005767165802109,0.024073572754288453
132,15852,122648903,0.011914910276861371,0.0238913969228293
133,16105,126602212,0.011887605795597254,0.02383582408271374
134,16360,130650577,0.01185962168447104,0.02377891458443203
135,16617,134795513,0.011831001102549001,0.023720754040324556
136,16876,139038547,0.011801784987056994,0.023661423646569157
137,17137,143381218,0.011772012174378016,0.02360100042389031
138,17400,147825077,0.011741719513806315,0.02353955744385149
139,17665,152371687,0.011710941974536473,0.0234771640416831
140,17932,157022623,0.01167971274633111,0.02341388601652924
141,18201,161779472,0.011648063334278978,0.02334978581993316
142,18472,166641053,0.011624171008956049,0.02330121657309978
143,18603,169041105,0.011542985313192797,0.02313848159334827
144,18877,174068511,0.011511591467175264,0.02307493507001456
145,19153,179207469,0.011479842013604451,0.023010693754470717
146,19431,184459620,0.011447763123643638,0.02294580951580069
147,19711,189826617,0.01141537966243233,0.022880331628064493
148,19993,195310125,0.01138271525629679,0.022814306903985365
149,20277,200911821,0.011349792356189312,0.02274777982113134
150,20563,206633394,0.011316632297588908,0.02268079264105434
151,20851,212476545,0.011283255357080331,0.02261338552181872
152,21141,218442987,0.011249680805813766,0.022545596624322088
153,21433,224529945,0.011225722910622732,0.022497053199904547
154,21574,227527747,0.011152928734084145,0.022351173535029557
155,21869,233808491,0.011119820910080718,0.022284349655469157
156,22166,240218605,0.011086552315805256,0.02221721645979513
157,22465,246759856,0.011053139069509367,0.022149805857431492
158,22766,253434023,0.011019596498456553,0.02208214818674941
159,23069,260242897,0.010985939177681689,0.022014272292149015
160,23374,267188281,0.010952180966699442,0.02194620559705949
161,23681,274271990,0.010918335044280525,0.02187797417309409
162,23990,281495851,0.010884413941407085,0.02180960280558176
163,24301,288861703,0.010850429572511552,0.021741115055682925
164,24614,296364957,0.010827022976530607,0.021693791878474457
165,24765,300052529,0.010761498893149002,0.02156250666953364
166,25081,307779712,0.010728079028810893,0.021495171846073358
167,25399,315655405,0.01069461649175889,0.02142776096647118
168,25719,323681501,0.01066112128917048,0.021360293813077417
169,26041,331859905,0.010627602937185478,0.021292789193398897
170,26365,340192534,0.010594070483984822,0.021225264985986484
171,26691,348681317,0.01056053253171121,0.021157738184017977
172,27019,357328195,0.010526997257294932,0.021090224936702574
173,27349,366135121,0.010493472432244447,0.021022740588625473
174,27681,375104060,0.010459965441457799,0.020955299717144233
175,28015,384228389,0.010437440945384775,0.02090983067425432
176,28176,388704351,0.010378224166760987,0.02079120162704742
177,28513,398084934,0.010345315940326038,0.020724976741706973
178,28852,407634489,0.010312436469735765,0.02065881655459164
179,29193,417355035,0.010279591965537044,0.02059273331848482
180,29536,427248603,0.010246788327210953,0.020526738668957763
181,29881,437317236,0.010214031157297652,0.020460843652447033
182,30228,447562989,0.010181325774845592,0.020395058752987697
183,30577,457987929,0.010148677228220116,0.020329393917671953
184,30928,468594135,0.01011609030730453,0.020263858580899127
185,31281,479383698,0.01008356955512484,0.02019846168747907
186,31636,490347741,0.010062090101878139,0.020155152667004888
187,31807,495717313,0.010008361306056762,0.020047531945532406
188,32165,506972117,0.009976438187703314,0.019983344793103094
189,32525,518417677,0.009944586349647672,0.01991930584900022
190,32887,530056138,0.009912809602710003,0.01985542261033349
191,33251,541889657,0.009881111557420155,0.019791702177058678
192,33617,553920403,0.009849495632869873,0.01972815126956907
193,33985,566150557,0.009817965065159449,0.01966477624548013
194,34355,578582312,0.009786522915458826,0.019601583115647223
195,34727,591217873,0.009755172077702129,0.01953857755945415
196,35101,604059457,0.009723915285933566,0.019475764939408245
197,35477,617095713,0.009703544737457728,0.01943472893910524
198,35658,623470715,0.009654608674657204,0.01933671926419286
199,36037,636834421,0.009623929149372736,0.019275072687493493
200,36418,650411989,0.009593345287473902,0.019213621937956813
201,36801,664205690,0.009562859363176402,0.019152371470260027
202,37186,678217807,0.009532473520098946,0.01909132548032374
203,37573,692450635,0.009502189776925874,0.019030487916561232
204,37962,706906481,0.00947201003282015,0.018969862490631328
205,38353,721587664,0.009441936072598515,0.018909452687718147
206,38746,736496515,0.009411969571679972,0.01884926177636009
207,39141,751635377,0.009382112100818229,0.018789292817849176
208,39538,766990205,0.00936285607185267,0.0187505300270068
209,39729,774489057,0.009318122540272264,0.01866094590498247
210,40129,790210206,0.009288812114907345,0.01860208030695823
211,40531,806169645,0.00925961025463506,0.01854343546978257
212,40935,822369771,0.009230518241097848,0.018485013885056693
213,41341,838812993,0.00920153727001812,0.018426817874307923
214,41749,855501732,0.009172668454885189,0.01836884959631146
215,42159,872438421,0.009143912830485133,0.018311111054099747
216,42571,889625505,0.009115271356280659,0.018253604101673582
217,42985,907065441,0.009086744919647777,0.018196330450428497
218,43401,924760698,0.009058334338975686,0.018139291675309144
219,43819,942694317,0.009040164814215572,0.01810273765377052
220,44020,951442039,0.0089991316779928,0.01802057093047605
221,44441,969783032,0.008971233540440297,0.017964564590734314
222,44864,988388065,0.00894344958264101,0.01790878957207651
223,45289,1007259661,0.008915780442368234,0.017853247094476263
224,45716,1026400355,0.008888226700576513,0.01779793826557105
225,46145,1045812694,0.008860788883838991,0.017742864085500378
226,46576,1065499237,0.008833467466683958,0.017688025451543556
227,47009,1085462555,0.008806262873834967,0.01763342316256575
228,47444,1105705231,0.008779175482358709,0.017579057923280707
229,47881,1126229860,0.008752205623724649,0.017524930348337995
230,48320,1147016349,0.008735075952672032,0.017490485297618534
231,48531,1157144561,0.008697314620816602,0.017414875787639107
232,48973,1178381659,0.008670821396245592,0.017361707691360126
233,49417,1199909869,0.008644443358639994,0.017308772408997232
234,49863,1221731840,0.008618180728538755,0.01725607033800449
235,50311,1243850233,0.008592033688874236,0.017203601801596108
236,50761,1266267721,0.008566002386604505,0.017151367051985
237,51213,1288986989,0.008540086934279783,0.01709936627349047
238,51667,1312010734,0.008514287411545812,0.017047599585520535
239,52123,1335341665,0.008488603866586807,0.016996067045434122
240,52581,1358982503,0.008463036317510492,0.01694476865128824
241,53041,1382909801,0.00844689039342379,0.01691231527308892
242,53262,1394556723,0.008412033665152183,0.016842526221704957
243,53725,1418980047,0.008386907542569065,0.01679211583682102
244,54190,1443722877,0.008361894737852956,0.016741934116154038
245,54657,1468787988,0.008336995203262957,0.016691980929589206
246,55126,1494178167,0.008312208866276182,0.016642256098185673
247,55597,1519896213,0.008287535630692826,0.016592759396367823
248,56070,1545944937,0.008262975377697546,0.01654349055402976
249,56545,1572327162,0.008238527966878937,0.016494449258556556
250,57022,1599045723,0.00821419323720885,0.01644563515676562
251,57501,1626101235,0.00819064606956865,0.016398397956462977
252,57982,1653473373,0.0081747488784303,0.01636646222062141
253,58213,1666783825,0.008142480875833842,0.01630186000704007
254,58697,1694697356,0.008118666456140237,0.01625409264288608
255,59183,1722960109,0.008094961736309265,0.016206546378750717
256,59671,1751574985,0.008071366499055974,0.016159220752284792
257,60161,1780544897,0.00804788051094937,0.01611211526941342
258,60653,1809872770,0.00802450352316717,0.016065229405831712
259,61147,1839561541,0.008001235272221173,0.016018562608442078
260,61643,1869614159,0.007978075480654443,0.015972114296735507
261,62141,1900033585,0.007955023857711357,0.015925883864119
262,62641,1930817871,0.007933334211049676,0.015882378861286767
263,63143,1961950965,0.007917721362310344,0.015851028759038453
264,63384,1977076367,0.007887769230200646,0.015791066179286512
265,63889,2008797946,0.007865201752771627,0.015745809196519845
266,64396,2040899785,0.007842739345951932,0.015700763790919472
267,64905,2073384911,0.007820381688736368,0.01565592929798274
268,65416,2106256363,0.007798128449826362,0.015611305033059946
269,65929,2139517192,0.007775979288148977,0.015566890292382037
270,66444,2173170461,0.007753933853355923,0.01552268435404864
271,66961,2207219245,0.007731991786303345,0.015478686478977877
272,67480,2241666631,0.007710152719513108,0.01543489591181946
273,68001,2276507888,0.007690109566913666,0.015394698410626045
274,68524,2311731677,0.0076748620880673175,0.015364093388477924
275,68775,2328830049,0.007646989158695936,0.015308295899421688
276,69301,2364691377,0.007625599758510246,0.015265409046333974
277,69829,2400965325,0.0076043102714821705,0.015222723240650967
278,70359,2437655046,0.007583120316886474,0.015180237702553025
279,70891,2474763705,0.007562029507686449,0.01513795163994245
280,71425,2512294479,0.007541037450892496,0.01509586424915287
281,71961,2550250557,0.0075201437479069455,0.015053974715631352
282,72499,2588635140,0.00749934799485563,0.01501228221459416
283,73039,2627451441,0.007478649782906701,0.014970785911657243
284,73581,2666691726,0.007460072833954046,0.014933533179178948
285,74125,2706349809,0.007445242909833385,0.014903775482054871
286,74386,2725585771,0.007419243068741538,0.01485172986977316
287,74933,2765932409,0.007398962107598305,0.014811071812759594
288,75482,2806725349,0.007378775689066192,0.014770603885963575
289,76033,2847967870,0.007358683402086031,0.014730325252145281
290,76586,2889663263,0.007338684831999238,0.014690235067139165
291,77141,2931814831,0.007318779560796159,0.014650332480344728
292,77698,2974425889,0.007298967167354847,0.014610616635198314
293,78257,3017499764,0.007279247227670626,0.014571086669626624
294,78818,3061039795,0.007259619315076776,0.014531741716482607
295,79381,3105035025,0.007242353627469742,0.014497122100782937
296,79946,3149484861,0.007227972751219061,0.014468272970066646
297,80217,3171029633,0.007203665782906163,0.01441961799365189
298,80785,3216221002,0.007184424923034173,0.014381050365343394
299,81355,3261893677,0.007165273225611466,0.01434266196149321
300,81927,3308051063,0.007146210268766083,0.014304451925817765
301,82501,3354696577,0.007127235628869642,0.014266419398738803
302,83077,3401833648,0.007108348880709285,0.014228563517722748
303,83655,3449465717,0.007089549597652934,0.014190883417606775
304,84235,3497596237,0.007070837351808087,0.014153378230912061
305,84817,3546228673,0.007052211714174376,0.014116047088144687
306,85401,3595348625,0.0070361233982371785,0.014083791347576246
307,85987,3644961533,0.007022208216714357,0.014055882633172475
308,86268,3668992935,0.0069994359482211,0.01401030127580331
309,86857,3719402316,0.0069811694013888585,0.013973691098032008
310,87448,3770329329,0.006962986756122714,0.013937249501982163
311,88041,3821777505,0.006944887592558891,0.013900975637456608
312,88636,3873750387,0.006926871490321415,0.013864868653409499
313,89233,3926251530,0.006908938028640767,0.013828927698180102
314,89832,3979284501,0.006891086786467818,0.013793151919717186
315,90433,4032852879,0.006873317342583188,0.013757540465794402
316,91036,4086960255,0.0068556292757022165,0.013722092484216901
317,91641,4141588566,0.006840602042162725,0.013691966821890274
318,92248,4196749725,0.006827158577766798,0.013665009365561287
319,92539,4223452177,0.006805781672302751,0.01362222239406147
320,93149,4279466711,0.006788426907943977,0.013587443436351552
321,93761,4336036525,0.006771150982461372,0.01355282283369725
322,94375,4393165276,0.006753953486250603,0.013518359758093174
323,94991,4450856633,0.006736834010024774,0.013484053382311423
324,95609,4509114277,0.006719792144895693,0.01344990288006134
325,96229,4567941901,0.0067028274824517745,0.013415907426142612
326,96851,4627343210,0.00668593961483271,0.01338206619659197
327,97475,4687321921,0.006669128134801007,0.013348378368823672
328,98101,4747856088,0.006655060499175985,0.013320178794105386
329,98729,4808964537,0.006642087217055961,0.013294168517223095
330,99030,4838529059,0.006621982498130482,0.013253929108862106
331,99661,4900549747,0.006605480597608208,0.013220862552191038
332,100294,4963164685,0.0065890527168886315,0.013187944627102615
333,100929,5026377656,0.006572698461755274,0.01315517453772908
334,101566,5090192455,0.0065564174388507285,0.013122551490037375
335,102205,5154612889,0.006540209255731577,0.013090074691936793
336,102846,5219642777,0.006524073520920923,0.013057743353381883
337,103489,5285285950,0.006508009843958599,0.013025556686470798
338,104134,5351546251,0.00649201783544916,0.01299351390553921
339,104781,5418397631,0.006478820838060425,0.012967061637166868
340,105430,5485866269,0.006466310884916951,0.01294198398187998
341,105741,5518490481,0.006447369094542265,0.012904073223997914
342,106393,5586932184,0.006431664875845112,0.012872607875176965
343,107047,5656008429,0.006416030124552075,0.01284128198084833
344,107703,5725723125,0.006400464464830058,0.012810094783027404
345,108361,5796080193,0.006384967522046337,0.012779045526226225
346,109021,5867083566,0.006369538922804876,0.01274813345752436
347,109683,5938737189,0.006354178294980932,0.012717357826636404
348,110347,6011045019,0.0063388852677540046,0.012686717885976206
349,111013,6084011025,0.006323659471639185,0.012656212890717942
350,111681,6157604835,0.006311254805787794,0.012631350584072394
351,112351,6231860421,0.006299197649597292,0.012607183764061261
352,112672,6267748543,0.006281321562777552,0.012571406869813928
353,113345,6343039982,0.006266363558572756,0.012541439089979867
354,114020,6419007577,0.006251470744291916,0.012511602148098407
355,114697,6495655363,0.006236642764029466,0.012481895326961022
356,115376,6572987387,0.006221879263282316,0.012452317912243521
357,116057,6651007708,0.006207179888973006,0.012422869192550968
358,116740,6729720397,0.006192544289471655,0.01239354845946019
359,117425,6809129537,0.006177972114616711,0.01236435500755995
360,118112,6889239223,0.006163463015734561,0.012335288134488845
361,118801,6970014540,0.006151781481380035,0.01231187676586976
362,119492,7051497693,0.006140164114831117,0.012288594150442282
363,119823,7090860545,0.006123266947506937,0.01225477726417285
364,120517,7173444301,0.0061090072919971474,0.012226210720549963
365,121213,7256747149,0.006094808822420466,0.012197766954181068
366,121911,7340773250,0.00608067120336305,0.012169445289605499
367,122611,7425526777,0.006066594100919256,0.012141245054445093
368,123313,7511011915,0.006052577182705534,0.012113165579430844
369,124017,7597232861,0.006038620117873428,0.012085206198427791
370,124723,7684193824,0.006024722577121732,0.012057366248458256
371,125431,7771896081,0.006011071356080394,0.012030019313484915
372,126141,7860308786,0.005999864451562227,0.012007561348076151
373,126853,7949473985,0.005988672275789834,0.011985133211420496
374,127194,7992528987,0.005972676335374266,0.011953120701310499
375,127909,8082861501,0.005959070597019321,0.011925866015075354
376,128626,8173957365,0.005945522306503273,0.01189872658456296
377,129345,8265820866,0.005932031148815363,0.011871701775756856
378,130066,8358456303,0.005918596810492558,0.011844790957791371
379,130789,8451867987,0.005905218979626918,0.01181799350296544
380,131514,8546060241,0.00589189734587232,0.011791308786755156
381,132241,8641037400,0.005878631600450582,0.01176473618782513
382,132970,8736796989,0.005865807273606017,0.01173904675713339
383,133701,8833314813,0.005855008778111375,0.011717409292939058
384,134434,8930630397,0.005844226250903608,0.01169580409586753
385,134785,8977601569,0.005829061788116268,0.011665456250816128
386,135521,9076153142,0.0058160687729048935,0.011639430589466567
387,136259,9175513645,0.005803129721972405,0.011613513177546426
388,136999,9275687491,0.005790244340197079,0.011587703421352695
389,137741,9376679105,0.005777412333999519,0.011562000730313597
390,138485,9478492924,0.005764633411345469,0.011536404516993448
391,139231,9581133397,0.005751907281748162,0.01151091419709662
392,139979,9684604985,0.005739233656270246,0.011485529189470678
393,140729,9788901241,0.0057271636331446005,0.011461351679511213
394,141481,9894005061,0.005716757928985731,0.011440503082382637
395,142235,9999953229,0.005706369038689135,0.011419688408250361
396,142596,10051071191,0.005691973267057565,0.011390879471368128
397,143353,10158325984,0.0056795548086451,0.011366006117495166
398,144112,10266436609,0.005667187071981651,0.011341234494007061
399,144873,10375407605,0.005654869781053103,0.011316564045867528
400,145636,10485243523,0.005642602661352393,0.011291994221093775
401,146401,10595948926,0.005630385439879177,0.011267524470755201
402,147168,10707528389,0.005618217845139175,0.011243154248971482
403,147937,10819986499,0.005606099607143201,0.011218883012910052
404,148708,10933312617,0.005594719520997879,0.011196088340699656
405,149481,11047497170,0.005584690780293262,0.01117599660867552
406,150256,11162573981,0.005574679390250677,0.011155939842556495
407,150627,11218075953,0.0055609956457941725,0.011128556326035516
408,151405,11334531987,0.005549116393146697,0.011104764243218573
409,152185,11451892077,0.005537284846203068,0.011081067829096156
410,152967,11570160888,0.005525500747117522,0.011057466565351264
411,153751,11689343097,0.005513763839496833,0.011033959936605409
412,154537,11809443393,0.005502073868397838,0.011010547430413188
413,155325,11930466477,0.0054904305803247545,0.010987228537256383
414,156115,12052417062,0.0054788337232262755,0.010964002750537678
415,156907,12175280097,0.005468086302191495,0.01094247606773346
416,157701,12299053980,0.00545841875297875,0.010923109355157218
417,158497,12423769353,0.005448768849531271,0.010903778171890597
418,158878,12483899155,0.005435745868084993,0.010877717407959613
419,159677,12610068311,0.0054243730774165225,0.010854940816927042
420,160478,12737191069,0.00541304518803987,0.01083225425988774
421,161281,12865272220,0.0054017619592560675,0.010809657253143907
422,162086,12994316567,0.005390523151752414,0.01078714931579882
423,162893,13124328925,0.005379328527598606,0.01076472996974867
424,163702,13255314121,0.005368177850242724,0.010742398739674098
425,164513,13387276994,0.005357070884507053,0.010720155153031461
426,165326,13520197861,0.005346905003198523,0.010699793942414717
427,166141,13654083531,0.005337583119557167,0.010681120933494808
428,166958,13788961245,0.005328278988079912,0.010662483643191991
429,167349,13853969297,0.005315870281703423,0.010637652533884509
430,168169,13990377316,0.0053049736168788155,0.010615830506950032
431,168991,14127789805,0.005294119245892032,0.01059409327639818
432,169815,14266211681,0.005283306944138621,0.010572440390998493
433,170641,14405647873,0.005272536488327648,0.01055087140217201
434,171469,14546103322,0.0052618076564769495,0.01052938586398141
435,172299,14687582981,0.0052511202279082875,0.010507983333120951
436,173131,14830091815,0.005240473983242391,0.01048666336890625
437,173965,14973605289,0.005230843862150127,0.010467375837565351
438,174801,15118139063,0.005221852497497795,0.010449366007426826
439,175639,15263716757,0.005212878844685173,0.010431391794598715
440,176040,15333860079,0.005201042161825092,0.010407705729548107
441,176881,15481046562,0.0051905935056345155,0.010386781807873483
442,177724,15629289705,0.005180184718594847,0.010365937813223244
443,178569,15778594551,0.00516981559114787,0.010345173324698259
444,179416,15928966155,0.005159485914973326,0.010324487923896335
445,180265,16080409584,0.00514919548298366,0.010303881194901417
446,181116,16232929917,0.005138944089318692,0.010283352724272644
447,181969,16386532245,0.005128731529340239,0.01026290210103329
448,182824,16541186961,0.00511959605586692,0.010244605817779995
449,183681,16696919016,0.005110920533758108,0.010227229609447011
450,184540,16853748189,0.0051022625697769546,0.010209888692774388
451,184951,16929290401,0.0050909594264721214,0.01018727060951431
452,185813,17087808809,0.0050809327039971425,0.010167192445432755
453,186677,17247437389,0.005070943595233408,0.010147189679848583
454,187543,17408181310,0.005060991904647496,0.010127261920118003
455,188411,17570045753,0.005051077437868089,0.010107408775939585
456,189281,17733035911,0.005041200001680473,0.010087629859343007
457,190153,17897156989,0.0050313594040209955,0.010067924784677728
458,191027,18062414204,0.005021555453971487,0.010048293168601579
459,191903,18228772657,0.005012877604135022,0.010030913903475937
460,192781,18396267030,0.005004503777317676,0.010014142842123009
461,193661,18564913041,0.004996147268047098,0.00999740657513884
462,194082,18646124363,0.0049853425395981745,0.009975786140674793
463,194965,18816542017,0.004975713554102943,0.009956505165779473
464,195850,18988124677,0.00496612008338195,0.009937295375876098
465,196737,19160877638,0.004956561944946432,0.009918156404588093
466,197626,19334806207,0.004947038957395288,0.009899087887729927
467,198517,19509915703,0.004937550940409518,0.009880089463295785
468,199410,19686211457,0.004928097714746642,0.009861160771448194
469,200305,19863698812,0.004918679102235096,0.009842301454506614
470,201202,20042337357,0.004910425446079964,0.009825772186321087
471,202101,20222171945,0.00490233973190892,0.009809578946853813
472,203002,20403214013,0.004894271028958417,0.00979341987478625
473,203433,20490371265,0.0048839325932281226,0.0097727327707087
474,204337,20673269346,0.004874678874496998,0.009754203889419423
475,205243,20857388589,0.0048654587161840535,0.009735742270524485
476,206151,21042734415,0.004856271947914969,0.009717347572030528
477,207061,21229312257,0.004847118400331174,0.009699019453989367
478,207973,21417127560,0.004837997905084353,0.009680757578486812
479,208887,21606185781,0.004828910294830945,0.009662561609631491
480,209803,21796492389,0.004819855403226636,0.009644431213543667
481,210721,21988001241,0.0048119956801697195,0.00962869127780719
482,211641,22180767801,0.004804185078491691,0.009613049717892102
483,212563,22374799005,0.004796391132800949,0.009597441602167517
