n,|A|,|A+A|,delta,dup_density
2,4,10,-0.125,0.0
3,9,42,-0.018518518518518517,0.06666666666666667
4,16,124,0.015625,0.08823529411764706
5,25,295,0.028,0.09230769230769231
6,36,601,0.036265432098765434,0.09759759759759759
7,49,1102,0.04102457309454394,0.10040816326530612
8,64,1877,0.041748046875,0.09759615384615385
9,81,3013,0.040771223898795915,0.09274314965371876
10,100,4609,0.0391,0.08732673267326732
11,111,5721,0.03567080594107621,0.07963320463320463
12,133,8119,0.04101418960936175,0.08887891370216586
13,157,11233,0.04428171528256725,0.09433201644763364
14,183,15198,0.04617934247066201,0.09729151817533856
15,211,20161,0.04715752116978505,0.09858714119645891
16,241,26281,0.04751123431070402,0.09876204519735263
17,273,33729,0.04743791007527271,0.09817919306970402
18,307,42688,0.04707211747604749,0.09708532509835441
19,343,53353,0.046506982634786524,0.09565055257983592
20,381,65931,0.04580775828218323,0.09399348641629221
21,421,80451,0.04609260836939534,0.09433643660433857
22,442,89083,0.04401527405253783,0.09008916989264884
23,485,107438,0.043254330959719416,0.08838827372618896
24,530,128525,0.04245283018867924,0.08662900188323917
25,577,152605,0.041628995972114176,0.08484405078169509
26,626,179951,0.040796068144004737,0.08305690162088346
27,677,210848,0.03996365056542353,0.08128434050971012
28,730,245593,0.03913867517357853,0.07953825684463017
29,785,284495,0.03832609842184267,0.07782693959579261
30,842,327875,0.03752940910963039,0.07615602009563176
31,901,375805,0.037072509149409766,0.075171465063455
32,962,428813,0.03664079079879496,0.07424390601960695
33,993,457985,0.03553525230490574,0.07200504132549577
34,1057,519718,0.034823481605264356,0.07052631390692708
35,1123,587521,0.034130925543699335,0.06909079961845971
36,1191,661781,0.0334579737056753,0.06769873604607261
37,1261,742897,0.032804736243342486,0.06634987702512658
38,1333,831280,0.032171114796703676,0.06504362222489656
39,1407,927353,0.031556856796331065,0.0637791157847128
40,1483,1031551,0.0309615971343466,0.06255532149627495
41,1561,1144009,0.03051293110700815,0.061626998025659054
42,1641,1265362,0.030108460047064835,0.06078926058128306
43,1723,1396195,0.029699410084248173,0.05994441250018516
44,1764,1465527,0.0290262930569053,0.05858626736813706
45,1849,1611919,0.028513358923201438,0.05753643313405347
46,1936,1769041,0.028016091370124993,0.056519517700115623
47,2025,1937406,0.02753397347965249,0.05553434974955212
48,2116,2117539,0.027066485968818006,0.054579767888539354
49,2209,2309977,0.026613112619451967,0.05365462966187276
50,2304,2515269,0.026173344364872685,0.05275781814895156
51,2401,2733633,0.025806181340865018,0.052007195170205585
52,2500,2965771,0.02547664,0.051332746901239505
53,2601,3212460,0.025149363633098262,0.050663716225740646
54,2704,3474297,0.02482501816287945,0.05000136718109134
55,2755,3610009,0.02437455739605601,0.04909427113652707
56,2861,3896201,0.024001441116359396,0.048335515746963126
57,2969,4199105,0.023638845367551824,0.04759847265741506
58,3079,4519360,0.0232863805888479,0.04688231547601473
59,3191,4857617,0.02294367158652199,0.04618625064698726
60,3305,5214539,0.02261035747881196,0.04550951691922173
61,3421,5590447,0.02231633955072787,0.04491186300586794
62,3539,5986070,0.022051981069775045,0.0443739892688892
63,3659,6402397,0.021790960318206647,0.04384323705153995
64,3781,6840139,0.021533459695364306,0.043319942415744286
65,3905,7300019,0.021279622795555782,0.042804366111953575
66,3966,7534931,0.020957704278602107,0.04215692219255657
67,4093,8029924,0.020677356757131365,0.041588872108909956
68,4222,8548933,0.020404106885477953,0.04103534893226991
69,4353,9092723,0.020137705094870024,0.04049583384380763
70,4486,9662071,0.019877912141185665,0.03996983011605032
71,4621,10257421,0.01964065519318228,0.0394891681729534
72,4758,10879489,0.01942671805508512,0.039055400086612735
73,4897,11529496,0.01921587979688089,0.03862807814019016
74,5038,12208267,0.019008177785314342,0.03820726321985063
75,5181,12916639,0.01880363573627914,0.03779298986864617
76,5326,13655461,0.018602265591718844,0.03738526996113931
77,5397,14028993,0.01836098184372085,0.036900414601912346
78,5545,14815648,0.01814369032451107,0.036461147800005006
79,5695,15634945,0.017931336962864242,0.03603193960797467
80,5847,16487775,0.01772376198500448,0.03561246112391286
81,6001,17374725,0.017529586872998253,0.03521994362707848
82,6157,18296458,0.017353994862755462,0.034864743868134256
83,6315,19254447,0.017181013422402264,0.03451491442763468
84,6475,20249631,0.017010634904071197,0.03417043267568283
85,6637,21282961,0.016842846553860476,0.03383126621812955
86,6801,22355400,0.016677631218378,0.03349737427703287
87,6967,23467923,0.016514967967363375,0.033168708906033476
88,7048,24026095,0.016327496002762315,0.032792223528860485
89,7217,25201133,0.016154556249294304,0.03244317884487586
90,7388,26418761,0.015985165513721748,0.032101340591521525
91,7561,27679729,0.015823889080883932,0.0317758332030054
92,7736,28984607,0.015677668783399226,0.031480533981743934
93,7913,30335140,0.015533588778854664,0.03118961031263001
94,8092,31732381,0.015391628868115535,0.030903017620361028
95,8273,33177395,0.015251766924042214,0.03062070770186155
96,8456,34671259,0.015113979180111148,0.030342629288641332
97,8641,36215062,0.014978240486568603,0.030068728545345823
98,8828,37809905,0.014844524537714062,0.029798949511595816
99,8919,38605337,0.014694715847845444,0.02949824453967119
100,9109,40279339,0.014553995612185478,0.029214565539274977
