n,|A|,|A+A|,delta,dup_density
6,36,601,0.036265432098765434,0.09759759759759759
11,111,5721,0.03567080594107621,0.07963320463320463
16,241,26281,0.04751123431070402,0.09876204519735263
21,421,80451,0.04609260836939534,0.09433643660433857
26,626,179951,0.040796068144004737,0.08305690162088346
31,901,375805,0.037072509149409766,0.075171465063455
36,1191,661781,0.0334579737056753,0.06769873604607261
41,1561,1144009,0.03051293110700815,0.061626998025659054
46,1936,1769041,0.028016091370124993,0.056519517700115623
51,2401,2733633,0.025806181340865018,0.052007195170205585
56,2861,3896201,0.024001441116359396,0.048335515746963126
61,3421,5590447,0.02231633955072787,0.04491186300586794
66,3966,7534931,0.020957704278602107,0.04215692219255657
71,4621,10257421,0.01964065519318228,0.0394891681729534
76,5326,13655461,0.018602265591718844,0.03738526996113931
81,6001,17374725,0.017529586872998253,0.03521994362707848
86,6801,22355400,0.016677631218378,0.03349737427703287
91,7561,27679729,0.015823889080883932,0.0317758332030054
96,8456,34671259,0.015113979180111148,0.030342629288641332
101,9301,42007003,0.014418190625924004,0.028940784994994445
106,10291,51488908,0.013818392975471971,0.02773126352712438
111,11221,61288317,0.01324034917692274,0.026567449316387465
116,12306,73791417,0.01272735794687128,0.025533902152303233
121,13321,86552641,0.012239454706323266,0.024552135736816125
126,14501,102588376,0.012132093494204873,0.024331469833052663
131,15731,120761181,0.012005767165802109,0.024073572754288453
136,16876,139038547,0.011801784987056994,0.023661423646569157
141,18201,161779472,0.011648063334278978,0.02334978581993316
146,19431,184459620,0.011447763123643638,0.02294580951580069
151,20851,212476545,0.011283255357080331,0.02261338552181872
156,22166,240218605,0.011086552315805256,0.02221721645979513
161,23681,274271990,0.010918335044280525,0.02187797417309409
166,25081,307779712,0.010728079028810893,0.021495171846073358
171,26691,348681317,0.01056053253171121,0.021157738184017977
176,28176,388704351,0.010378224166760987,0.02079120162704742
181,29881,437317236,0.010214031157297652,0.020460843652447033
186,31636,490347741,0.010062090101878139,0.020155152667004888
191,33251,541889657,0.009881111557420155,0.019791702177058678
196,35101,604059457,0.009723915285933566,0.019475764939408245
201,36801,664205690,0.009562859363176402,0.019152371470260027
206,38746,736496515,0.009411969571679972,0.01884926177636009
211,40531,806169645,0.00925961025463506,0.01854343546978257
216,42571,889625505,0.009115271356280659,0.018253604101673582
221,44441,969783032,0.008971233540440297,0.017964564590734314
226,46576,1065499237,0.008833467466683958,0.017688025451543556
231,48531,1157144561,0.008697314620816602,0.017414875787639107
236,50761,1266267721,0.008566002386604505,0.017151367051985
241,53041,1382909801,0.00844689039342379,0.01691231527308892
246,55126,1494178167,0.008312208866276182,0.016642256098185673
251,57501,1626101235,0.00819064606956865,0.016398397956462977
256,59671,1751574985,0.008071366499055974,0.016159220752284792
261,62141,1900033585,0.007955023857711357,0.015925883864119
266,64396,2040899785,0.007842739345951932,0.015700763790919472
271,66961,2207219245,0.007731991786303345,0.015478686478977877
276,69301,2364691377,0.007625599758510246,0.015265409046333974
281,71961,2550250557,0.0075201437479069455,0.015053974715631352
286,74386,2725585771,0.007419243068741538,0.01485172986977316
291,77141,2931814831,0.007318779560796159,0.014650332480344728
296,79946,3149484861,0.007227972751219061,0.014468272970066646
301,82501,3354696577,0.007127235628869642,0.014266419398738803
306,85401,3595348625,0.0070361233982371785,0.014083791347576246
311,88041,3821777505,0.006944887592558891,0.013900975637456608
316,91036,4086960255,0.0068556292757022165,0.013722092484216901
321,93761,4336036525,0.006771150982461372,0.01355282283369725
326,96851,4627343210,0.00668593961483271,0.01338206619659197
331,99661,4900549747,0.006605480597608208,0.013220862552191038
336,102846,5219642777,0.006524073520920923,0.013057743353381883
341,105741,5518490481,0.006447369094542265,0.012904073223997914
346,109021,5867083566,0.006369538922804876,0.01274813345752436
351,112351,6231860421,0.006299197649597292,0.012607183764061261
356,115376,6572987387,0.006221879263282316,0.012452317912243521
361,118801,6970014540,0.006151781481380035,0.01231187676586976
366,121911,7340773250,0.00608067120336305,0.012169445289605499
371,125431,7771896081,0.006011071356080394,0.012030019313484915
376,128626,8173957365,0.005945522306503273,0.01189872658456296
381,132241,8641037400,0.005878631600450582,0.01176473618782513
386,135521,9076153142,0.0058160687729048935,0.011639430589466567
391,139231,9581133397,0.005751907281748162,0.01151091419709662
396,142596,10051071191,0.005691973267057565,0.011390879471368128
401,146401,10595948926,0.005630385439879177,0.011267524470755201
406,150256,11162573981,0.005574679390250677,0.011155939842556495
411,153751,11689343097,0.005513763839496833,0.011033959936605409
416,157701,12299053980,0.00545841875297875,0.010923109355157218
421,161281,12865272220,0.0054017619592560675,0.010809657253143907
426,165326,13520197861,0.005346905003198523,0.010699793942414717
431,168991,14127789805,0.005294119245892032,0.01059409327639818
436,173131,14830091815,0.005240473983242391,0.01048666336890625
441,176881,15481046562,0.0051905935056345155,0.010386781807873483
446,181116,16232929917,0.005138944089318692,0.010283352724272644
451,184951,16929290401,0.0050909594264721214,0.01018727060951431
456,189281,17733035911,0.005041200001680473,0.010087629859343007
461,193661,18564913041,0.004996147268047098,0.00999740657513884
466,197626,19334806207,0.004947038957395288,0.009899087887729927
471,202101,20222171945,0.00490233973190892,0.009809578946853813
476,206151,21042734415,0.004856271947914969,0.009717347572030528
481,210721,21988001241,0.0048119956801697195,0.00962869127780719
486,214856,22861411345,0.0047687226267347765,0.00954205512214847
491,219521,23867043039,0.004724926091555556,0.009454364487790445
496,223741,24795525007,0.00468422631187888,0.009372880185625342
