n,|A|,|A+A|,delta,dup_density
6,21,134,0.1961451247165533,0.4199134199134199
11,71,1460,0.21037492560999801,0.4287949921752739
16,136,6023,0.17436202422145328,0.3534778875053671
21,241,19672,0.1613005974415041,0.32540036349919416
26,351,44173,0.14145583233902323,0.28494884744884746
31,511,97102,0.1281340834325849,0.25772076810176126
36,666,169757,0.11728169611052494,0.23571097334215774
41,881,302807,0.10986573661907774,0.220616131431763
46,1081,465772,0.10141404684907335,0.20356485146737208
51,1351,738912,0.09516130004311854,0.19092147390274133
56,1596,1047787,0.08865404425851596,0.17782323686486096
61,1921,1536667,0.08358627525952912,0.16760586344802855
66,2211,2058572,0.07889676652713572,0.1581742773883337
71,2591,2847966,0.07577137021375986,0.15187007733321897
76,2926,3662857,0.07216991556128872,0.14463216462748946
81,3361,4864461,0.06937652533068067,0.13900922167544183
86,3741,6069492,0.06631247793421131,0.13285675037513872
91,4231,7807606,0.06385405556594273,0.12791422925307355
96,4656,9511727,0.061233528256043265,0.1226554896113968
101,5201,11927151,0.05907673974962516,0.11832300016832004
106,5671,14252812,0.05681886836606728,0.11379400652467121
111,6271,17502846,0.054923084015764755,0.10998809306851429
116,6786,20585997,0.052962254165034736,0.1060562418635408
121,7441,24844441,0.05128909893699269,0.10269878666760618
126,8001,28834532,0.049573051275102295,0.09925868114273768
131,8711,34275320,0.04830478424384772,0.09671326344080751
136,9316,39316579,0.04698063977983279,0.09405852531693083
141,10081,46147740,0.045908672438497646,0.09190742448968356
146,10731,52429329,0.04470392137385053,0.08949269106649088
151,11551,60880810,0.04370968132270208,0.0874983602767541
156,12246,68592029,0.042611606868387455,0.08529790768519192
161,13121,78902780,0.04169094897828592,0.08345175149277391
166,13861,88246429,0.040687766109016844,0.08144180147699935
171,14791,100671900,0.03983541557725127,0.079733049189173
176,15576,111864279,0.0389165322296639,0.07789226500728574
181,16561,126676420,0.03812690238856941,0.07630957981609685
186,17391,139947329,0.03728294853865595,0.07461910740981666
191,18431,157434590,0.03655056265663574,0.07315141279562211
196,19306,173027329,0.03577331636309946,0.07159472167669738
201,20401,193494660,0.03509301391277236,0.07023160247372502
206,21321,211666029,0.03437528754933227,0.06879425061807648
211,22471,235434880,0.03374231277211371,0.06752612231240364
216,23436,256455179,0.0330778300151996,0.06619550490559524
221,24641,283863500,0.032487856737560016,0.06501365780944861
226,25651,308016529,0.03187113448609787,0.06377876740237771
231,26911,339418770,0.031320257296031113,0.06267534513179945
236,27966,367001829,0.030746498456772294,0.061526554570893836
241,29281,402768940,0.03023120713410446,0.06049450010885272
246,30381,434092829,0.02969620610821265,0.05942337158670321
251,31751,474612260,0.02921335276620844,0.058456359516243644
256,32896,510001279,0.02871341350414323,0.05745547926147039
261,34321,555577554,0.028344584986618074,0.05671665411839164
266,35511,595297359,0.0279280986119295,0.055882783836913065
271,36991,646435214,0.027575010389586284,0.055175562787693894
276,38226,690897689,0.02717979269089317,0.05438432288184175
281,39761,748033224,0.026841887597122215,0.05370757470696526
286,41041,797602519,0.02646656538778694,0.05295620632913424
291,42631,861188334,0.02614322108754222,0.05230867227355097
296,43956,916242099,0.025786500209787133,0.05159457666453139
301,45601,986747294,0.02547706167594745,0.05097493484868557
306,46971,1047676679,0.025137730109301464,0.050295679169036836
311,48671,1125586854,0.02484153198753783,0.04970258889568761
316,50086,1192796509,0.024518459563690132,0.0490559053529652
321,51841,1278613764,0.024234841404005586,0.04848803723718427
326,53301,1352521839,0.023926977412107083,0.0478718180572106
331,55111,1446764774,0.02365529385295203,0.04732787413013643
336,56616,1527802919,0.02336166339156419,0.0467401640700425
341,58481,1631006634,0.023101290767714416,0.04621889078303433
346,60031,1719619999,0.022820990412415008,0.04565787831315583
351,61951,1832336094,0.022571330830478843,0.04515807451830432
356,63546,1928983329,0.02230352399245565,0.04462208241536459
361,65521,2051779904,0.022064007618393902,0.044142603802227856
366,67161,2156933159,0.021807919838342054,0.04363007963618983
371,69191,2290394814,0.02157800592994417,0.04316984068385846
376,70876,2404539739,0.02133292026284591,0.042679347504817264
381,72961,2549267574,0.021112097329836002,0.0422373217094423
386,74691,2672903319,0.020877349916154024,0.04176752912192632
391,76831,2829514934,0.020665135283176105,0.04134274804617095
396,78606,2963154149,0.020440111161501285,0.04089242377805971
401,80801,3132283644,0.020236050132043215,0.040483975315443274
406,82621,3276452479,0.020020179321125185,0.0400519773351089
411,84871,3458750454,0.01982384408473201,0.03965900347146975
416,86736,3613988559,0.01961659794487853,0.039244272671339425
421,89041,3810122114,0.019427586329654533,0.038865966945458755
426,90951,3976982639,0.019228474201831346,0.038467520387254
431,93311,4187635374,0.019046408344920593,0.03810312519446342
436,95266,4366684969,0.018854974458536594,0.03772004989696216
441,97681,4592556984,0.01867949944594074,0.03736885373720721
446,99681,4784375799,0.01849532008189581,0.03700030097878165
451,102151,5026183694,0.018326102593449266,0.036661635719779075
456,104196,5231365379,0.018148783486607947,0.0363068158233078
461,106721,5489842254,0.01798551047061209,0.035980054026989616
466,108811,5708993959,0.017814684434789962,0.035638231592727464
471,111391,5984889414,0.017657061828576133,0.035322783936852266
476,113526,6218631789,0.017492386586932453,0.03499327348856384
481,116161,6512711924,0.017340138093653857,0.03468858630355755
486,118341,6761679119,0.01718129429776007,0.03437074831405967
491,121031,7074726534,0.01703416022540544,0.03407630124662975
496,123256,7339566199,0.01688084964698717,0.03376953851041402
