n,|A|,|A+A|,delta,dup_density
6,26,251,0.128698224852071,0.2849002849002849
11,91,3005,0.13712112063760415,0.28213091256569517
16,181,12583,0.11591526510179787,0.23605124157610347
21,301,36273,0.09964018057195836,0.20193175067655278
26,476,93445,0.08757767813007555,0.17688459031411308
31,661,183261,0.08056261887160379,0.16239242016353506
36,876,326711,0.07424912950105293,0.14946918459047293
41,1161,580355,0.06944435170903933,0.13962976305369132
46,1441,905241,0.06405042954883768,0.12870550482645643
51,1751,1350241,0.059608428046827124,0.11971958619862362
56,2146,2044865,0.05597726627228186,0.11236815409437995
61,2521,2845161,0.05232673861656492,0.10500849171479792
66,2926,3859371,0.049216630403449126,0.09874127814177802
71,3431,5337475,0.046586530256603066,0.09343728747692606
76,3901,6938796,0.044034253043524485,0.08830221482459714
81,4401,8875601,0.0417578506795542,0.08372389861004907
86,5016,11559665,0.040558530088088136,0.08130021404100063
91,5581,14355816,0.03910304566062171,0.07837122817338939
96,6176,17631551,0.037751039667172276,0.0756517471214039
101,6901,22066665,0.03664628743094236,0.07342684136798991
106,7561,26560461,0.035402217586781415,0.07092731213267767
111,8251,31707001,0.03426165874555063,0.06863619639106598
116,9086,38529265,0.03329198493578785,0.06668668980446095
121,9841,45300531,0.032238117002314236,0.06457128823811713
126,10626,52924451,0.03127648857769399,0.06264119085848806
131,11571,62868965,0.03043629191646773,0.06095373898469549
136,12421,72583026,0.02954082084418805,0.059157387812857794
141,13301,83376401,0.028724831198853974,0.05752052018883727
146,14356,97277265,0.02799733322640516,0.05606041872233371
151,15301,110684946,0.027231070109887512,0.05452393200253415
156,16276,125425351,0.026532729590044817,0.05312363541286102
161,17441,144215665,0.0259003084998475,0.051854979996083045
166,18481,162152808,0.025240635661067223,0.05053264664562097
171,19551,181703801,0.024636249626842684,0.04932112484189866
176,20826,206415665,0.024083321466292405,0.04821234482709998
181,21961,229802773,0.02351301668042404,0.047069425309060414
186,23126,255114251,0.022983197553376696,0.046007647046256706
191,24511,286878765,0.022496738085908182,0.04503243694710309
196,25741,316722863,0.021999241951861384,0.04403562171415305
201,27001,348829201,0.021531737674394848,0.043098914817149496
206,28496,388876465,0.02110108182091457,0.04223577412140096
211,29821,426270078,0.020663563433376102,0.04135927336508005
216,31176,466291151,0.020248448197026737,0.040527672386086254
221,32781,515950265,0.019864912957574307,0.039759118520056334
226,34201,562071418,0.019477318005515463,0.0389827351094459
231,35651,611212601,0.01910654440713515,0.03824006589581372
236,37366,671911665,0.018763054068615632,0.03755186546032016
241,38881,728023883,0.018417414286921424,0.03685960006634391
246,40426,787497003,0.018132799087041563,0.03628943705408476
251,42251,860594203,0.017914097540474763,0.035851014635169896
256,43861,927910443,0.017664747619989124,0.03535148854864543
261,45501,999099473,0.01742274701731611,0.03486670528921368
266,47436,1086349953,0.01721515462686226,0.03445066403355348
271,49141,1166410468,0.016981873948001068,0.03398340595330757
276,50876,1250811943,0.016756410006614146,0.03353181655744251
281,52921,1353937403,0.01656008840469533,0.03313844671270479
286,54721,1448259718,0.01634197208189906,0.032701621077212036
291,56551,1547417913,0.016131843598220143,0.032280799523374856
296,58706,1668239053,0.015946568514016716,0.03190962751235339
301,60601,1778426193,0.01574260134653852,0.03150118425799745
306,62526,1893970883,0.015546603015857875,0.031108701846227372
311,64791,2034407403,0.015371934079881142,0.03075882766297009
316,66781,2162147893,0.015181078935781377,0.030376677320547937
321,68801,2295794353,0.014998052949422852,0.030010204382815663
326,71176,2457864953,0.014833437462878178,0.029680507603799464
331,73261,2604932818,0.014654684332347562,0.029322618243348933
336,75376,2758481823,0.014483545846837462,0.02897997404383885
341,77861,2944304203,0.014328382199365313,0.028669239588625585
346,80041,3112558968,0.014160774065292262,0.028333687737939033
351,82251,3287896793,0.01400052170991446,0.02801286074897083
356,84846,3499687653,0.013854197831567426,0.02771985501472462
361,87121,3691074343,0.01369684286363755,0.027404849455314774
366,89426,3890172763,0.013546560789394767,0.027104000920357755
371,92131,4130247803,0.013408477016436876,0.026827516953964875
376,94501,4346796943,0.013260552755216115,0.02653140665638141
381,96901,4571713233,0.013119408042038172,0.02624886501169307
386,99716,4842487153,0.012988990200338564,0.025987748263926115
391,102181,5086314768,0.012849743138592431,0.025709021229659103
396,104676,5339191703,0.012716980806922979,0.025443271835178118
401,107601,5643178203,0.012593687148976301,0.02519643372645488
406,110161,5916485818,0.012462429768508875,0.02493371082094926
411,112751,6199551673,0.012337366711980302,0.02468338360547912
416,115786,6539363453,0.012220691008354441,0.024449807475680818
421,118441,6844438093,0.012096797515405705,0.024201833716454756
426,121126,7160006643,0.011978816116610044,0.02396569024149047
431,124271,7538355403,0.011868288368649437,0.023744432597213115
436,127021,7877569593,0.011751189873578002,0.023510067373081065
441,129801,8228040113,0.011639731732237256,0.02328698816006114
446,133056,8647736553,0.011534917445657097,0.023077177084247363
451,135901,9023548318,0.011424097027312743,0.022855384175491593
456,138776,9411405583,0.011318657030467683,0.022644356745861106
461,142141,9875359403,0.011219155652797354,0.022445188665479152
466,145081,10290312268,0.011114143559946775,0.022235026561815224
471,148051,10718126553,0.011014264404512772,0.022035134403486888
476,151526,11229346453,0.010919707312532312,0.02184586998011933
481,154561,11686069443,0.010820076438985646,0.021646482764017812
486,157626,12156496523,0.010725343646665985,0.02145689529902076
491,161211,12718090203,0.010635391929448913,0.021276854928149132
496,164341,13219294413,0.0105408806283218,0.02108771784862096
