n,|A|,|A+A|,delta,dup_density
6,36,581,0.05169753086419753,0.12762762762762764
11,111,5281,0.07138219300381463,0.1504182754182754
16,226,22261,0.06415929203539823,0.13215859030837004
21,381,64481,0.05579666714888985,0.11391900619752374
26,601,162962,0.04883292128205625,0.09916473651334155
31,841,323479,0.04264429554872816,0.08637494668997715
36,1121,580511,0.03804547201627195,0.07691439238902113
41,1481,1021071,0.034471981584426825,0.06957220610868572
46,1846,1597343,0.03125700615896395,0.0630215845906307
51,2251,2384301,0.029445326732716257,0.05930855282002157
56,2696,3427119,0.02849162733668519,0.05733290863900872
61,3241,4961024,0.027705089098227633,0.05570153841292767
66,3771,6731624,0.026623400779202278,0.05349779657389808
71,4341,8940061,0.02558227082264375,0.0513830666241808
76,5026,12005569,0.024732869381642836,0.049654824552272485
81,5681,15371905,0.023702706976109787,0.047573065234522954
86,6376,19399721,0.022801722543288903,0.04575310739721187
91,7111,24172849,0.021957529795375068,0.044049492231415105
96,7981,30499479,0.021173917612028102,0.04246781169170541
101,8801,37146684,0.020425580957509903,0.04096013133538847
106,9661,44826446,0.019724819823868495,0.039549054919973826
111,10671,54759149,0.019109220116606235,0.03830856219346048
116,11616,64977835,0.018438198725136412,0.03695930384629157
121,12601,76557341,0.017855943010709165,0.03578840467829649
126,13626,89620379,0.01730810449945579,0.03468705245609226
131,14821,106142647,0.016791128240495588,0.033647458055914875
136,15931,122764969,0.016286305166833867,0.03263333261521847
141,17081,141263056,0.015825389436374165,0.03170746715404602
146,18416,164349729,0.015405612687301716,0.030863850056941783
151,19651,187304473,0.014958567846538503,0.02996649875354449
156,20926,212570661,0.014565228962406716,0.02917685107921087
161,22241,240310209,0.014193187166897476,0.02843005806842611
166,23761,274480047,0.013837618473123028,0.027716156261247054
171,25161,308001479,0.01348413549912918,0.027006941681391724
176,26601,344491891,0.013163560949451536,0.02636372339044886
181,28261,389066809,0.01286522572545298,0.025764924225251336
186,29786,432463873,0.01255517609355203,0.025143080882434672
191,31351,479383181,0.012269407950929154,0.024569929106250315
196,32956,530012839,0.01200271961478067,0.024035053410487103
201,34801,591329772,0.01174545102132338,0.023518961036324056
206,36491,650499387,0.0114878589550136,0.02300249156677635
211,38221,713984951,0.011252029673971379,0.0225296335183329
216,40206,790429889,0.011030672140946393,0.022085666878846506
221,42021,863805473,0.010803676332498985,0.021630635532242152
226,43876,942168401,0.01058815191647142,0.021198612188030177
231,45771,1025728769,0.010388359490446449,0.020798112480871468
236,47941,1125739822,0.010194280998821689,0.020408995259459786
241,49921,1221129892,0.01000086918044037,0.020021368949832287
246,51941,1322444236,0.009818682602668579,0.019656239384898872
251,54251,1443188469,0.009648447708390559,0.019314972226937118
256,56356,1557905773,0.009475317058186638,0.01896804188055312
261,58501,1679326209,0.009308555011981896,0.018633885226349626
266,60686,1807688499,0.009152515767964126,0.018321207899374525
271,63181,1959988197,0.009001161031614122,0.0180178644277931
276,65451,2104001522,0.00885075934352378,0.0177165266085979
281,67761,2255801746,0.008706164003019056,0.01742682857674137
286,70396,2435322049,0.008571391212226494,0.017156744059431406
291,72791,2604571273,0.008435088636054392,0.0168836832868182
296,75226,2782488049,0.008303215272398655,0.016619502893414895
301,77701,2969352529,0.008177328028808786,0.016367315260005445
306,80521,3189582897,0.008056106207656968,0.016124431284537066
311,83081,3396449277,0.007935875403113836,0.015883596070535147
316,85681,3613213534,0.007819305088056575,0.01565009871967917
321,88641,3868040129,0.007709248112266647,0.015429603617233993
326,91326,4106838473,0.007599200773702843,0.01520918479440222
331,94051,4356520989,0.007492355738519895,0.014995184569462312
336,96816,4617411359,0.007388784023790127,0.014787744178135347
341,99961,4923261922,0.007289568604768334,0.014588995164187341
346,102811,5208733573,0.007220109088295499,0.01444980421500892
351,105701,5506341589,0.007161125016089562,0.014331575094618508
356,108986,5854486005,0.007113020835404223,0.014235086547338025
361,111961,6179203921,0.007054404978646642,0.014117615544814433
366,114976,6517246149,0.006996805847872975,0.014002187379476646
371,118031,6868976913,0.006939872789532751,0.013888100264696696
376,121501,7279510198,0.006891539423125109,0.013791195724335795
381,124641,7661496638,0.006835546356058003,0.013679006007051003
386,127821,8058326939,0.006780246721183246,0.013568210732868579
391,131431,8520742375,0.006733285858190496,0.013474077753177842
396,134696,8950345531,0.006678090397664644,0.01336350570842464
401,138001,9395978469,0.0066245380760799446,0.013256226417546245
406,141346,9858052243,0.006571682313654857,0.013150346428376399
411,145141,10395501603,0.006524918139138792,0.013056636171924645
416,148571,10893786528,0.006473169864110294,0.012952983333073936
421,152041,11409776314,0.00642211177732157,0.01285071620651858
426,155976,12009099545,0.006377567987985489,0.01276146540187367
431,159531,12564062441,0.0063263911218849585,0.012658971266773178
436,163126,13138010689,0.006277139131212521,0.012560331495315597
441,166761,13731404273,0.0062285536319341235,0.012463029133914996
446,170881,14419573833,0.0061843250773150425,0.01237442976482803
451,174601,15055669243,0.006136861820692932,0.012279380657206752
456,178361,15712582714,0.006090044963411581,0.012185628213622329
461,182621,16473498015,0.006048402004753052,0.012102213561454885
466,186466,17176122151,0.006001294582161719,0.012007887675109987
471,190351,17900937309,0.0059562082722943496,0.011917607388832288
476,194276,18648454503,0.005911735008743163,0.011828556448355561
481,198721,19513195888,0.005870393064047663,0.011745759202107624
486,202731,20310440783,0.005826988389995342,0.011658851915752281
491,206781,21131869139,0.005784172135549533,0.01157312433733176
496,211366,22081108285,0.005745524932852657,0.01149572660781801
