n,|A|,|A+A|,delta,dup_density
6,36,606,0.032407407407407406,0.09009009009009009
11,121,6856,0.03172597500170753,0.07112857336404281
16,256,31021,0.0266571044921875,0.05699781128404669
21,421,84001,0.026063382625916124,0.05437291035787056
26,651,199876,0.028372986378040636,0.05819268138682348
31,931,409201,0.027896386662528656,0.056805871207755744
36,1261,752851,0.026544835267253247,0.0538399956767137
41,1601,1217541,0.02499199243445988,0.05057700360495664
46,2026,1955971,0.023477370686504854,0.0474249166362692
51,2501,2989676,0.02203428904327913,0.04445064500179145
56,3026,4386837,0.020913811955342747,0.0421441658254821
61,3541,6023761,0.01958575228128062,0.03944277178318164
66,4161,8336966,0.018481919837799884,0.03719522750845042
71,4831,11261321,0.017480062288330458,0.03515984309392568
76,5476,14493751,0.01665868754071822,0.03349387364359064
81,6241,18858601,0.015826398409800484,0.03180793094378879
86,7056,24143401,0.015067486508964886,0.030272406066956564
91,7921,30467941,0.014395078747665388,0.02891275404197363
96,8741,37147661,0.013806405100205312,0.027724041862478753
101,9701,45810801,0.013217590238407744,0.026535527293917446
106,10711,55908616,0.012674987111193855,0.025440960968632822
111,11771,67585813,0.012214571100307058,0.02451201434279891
116,12766,79568501,0.011762091844257016,0.023600668047902413
121,13921,94701901,0.011327578614681331,0.022725358697741532
126,15126,111898751,0.010923216990152392,0.021911096740007283
131,16381,131327195,0.010588863239855176,0.021237476343800226
136,17551,150866011,0.010235080034920801,0.020525967376127507
141,18901,175086241,0.009902536810856394,0.019856930299650483
146,20301,202108282,0.009601370270488602,0.01925105091726816
151,21751,232135627,0.00933696357827429,0.0187190414482387
156,23096,261882731,0.00905445947272204,0.01815143057383974
161,24641,298250961,0.008792268089442985,0.017624403700346125
166,26236,338271189,0.008560833792165178,0.01715912912080235
171,27711,377546201,0.008339059115001064,0.016713601842941284
176,29401,425194001,0.008115741457594697,0.01626494215323731
181,31141,477214211,0.007905785585317309,0.01584317442119108
186,32931,533852756,0.007720612867917938,0.015471122455569392
191,34581,588911746,0.007535282810653842,0.01509904660662891
196,36466,655107961,0.007352115933722259,0.01473125070003652
201,38401,726724748,0.007183906228853162,0.014393478625810648
206,40386,804050323,0.007028799014680423,0.014082010399726822
211,42211,878640001,0.006871969818575552,0.013767303989950377
216,44291,967665551,0.006719089910291611,0.013460453861497594
221,46421,1063272405,0.006581351655171634,0.013183961276322539
226,48601,1165794030,0.006449704305869602,0.0129197184876988
231,50601,1264060106,0.006315461641709133,0.012650435735035132
236,52876,1380634427,0.006188146260416524,0.012394970276898617
241,55201,1505075522,0.006071140595465475,0.012160176515716447
246,57576,1637746817,0.0059580983912541794,0.011933357867719771
251,59751,1764234001,0.005841998949677636,0.011700538199296708
256,62221,1913523379,0.005735067017958285,0.011486021179787935
261,64741,2072085239,0.005633754341014678,0.011282780568769309
266,67046,2222706051,0.0055341685619700026,0.011083086951119089
271,69661,2399955081,0.005434629069928873,0.010883457139913158
276,72326,2587574101,0.005343293511866832,0.010700265365334674
281,75041,2785985496,0.0052547589154524855,0.010522703653273366
286,77521,2973702256,0.0051668918191100114,0.01034654990091141
291,80331,3193742783,0.00508161227614574,0.010175546376414466
296,83191,3425758733,0.005001270831131797,0.010014441814421706
301,86101,3670193033,0.004923268018621343,0.009858035810348569
306,88756,3900645001,0.00484521092493551,0.009701579387621846
311,91761,4169865415,0.004771348983776614,0.009553491730788908
316,94816,4452782215,0.004700151931655054,0.009410751353698295
321,97921,4749857390,0.004630925327589278,0.009271968280935227
326,100751,5029076022,0.004561821996397333,0.00913347879861497
331,103951,5354316117,0.004496570057855488,0.009002673427815449
336,107201,5695082287,0.00443305537220281,0.008875356223867344
341,110501,6051860907,0.004371214959327022,0.008751400413034974
346,113506,6386277119,0.004310041224839627,0.008628816535837379
351,116901,6774820829,0.0042515538993463725,0.008511589235213944
356,120346,7180829489,0.004194552168950203,0.008397343935860157
361,123481,7560676801,0.004138491038663095,0.008285013393776543
366,127021,8000637576,0.0041234824245949195,0.008254772575687224
371,130611,8459543101,0.004107661709142526,0.008222916783952693
376,134251,8937930001,0.004091113873229587,0.008189615478278837
381,137561,9384552808,0.004067084272539904,0.008141378863564964
386,141296,9901429653,0.0040496838675672595,0.008106387704647423
391,145081,10439386073,0.004031746745144645,0.008070330565229735
396,148916,10998987943,0.0040133335636991525,0.008033328377174171
401,152401,11520384077,0.0039889806686499475,0.00798447058283908
406,156331,12122664602,0.003970075030655969,0.00794649591404803
411,160311,12748273577,0.003950828706991283,0.00790784596095713
416,164341,13397806127,0.003931285319963727,0.007868607668984909
421,168001,14001895228,0.003907010336614934,0.007819926471847306
426,172126,14698511643,0.0038872277341624848,0.007780219965147267
431,176301,15420819433,0.0038672447960718245,0.007740117806857082
436,180526,16169411797,0.0038480496805401083,0.007701596067393616
441,184361,16864543681,0.0038231652117567045,0.007651713060225836
446,188681,17664872796,0.003802952468360171,0.007611164548633843
451,193051,18493370261,0.0037826401945416817,0.0075704211528134
456,197016,19261740431,0.0037591279985250982,0.007523293540734259
461,201481,20145519656,0.0037388482537631497,0.007482622616575706
466,205996,21059382881,0.003718523307260675,0.007441864951455312
471,210561,22004005481,0.003698171258411259,0.00740105658516098
476,214701,22878842653,0.003675267670997406,0.007355158724472189
481,219361,23883746173,0.0036550443665855034,0.00731461408355652
486,224071,24921409518,0.0036348327371075067,0.007274095882005928
491,228831,25992537313,0.0036146458893466173,0.007233630204736014
496,233146,26983254677,0.0035924310594076456,0.007189120441409539
