n,|A|,|A+A|,delta,dup_density
6,36,606,0.032407407407407406,0.09009009009009009
11,121,6886,0.029676934635612322,0.06706408345752608
16,256,31081,0.0257415771484375,0.0551738813229572
21,441,93091,0.021336274494680715,0.04483844819979274
26,651,202476,0.022238031528948727,0.045941590568544854
31,931,412921,0.023604546120556878,0.048231400082056765
36,1261,757891,0.023375265152777682,0.04750587853827679
41,1641,1285761,0.022533301694356342,0.04564817062172808
46,2026,1964251,0.021460159096601046,0.04339248379843485
51,2501,2999876,0.020403593860336713,0.0411905581492423
56,3026,4401101,0.019356041428133963,0.03902965402149546
61,3601,6245551,0.018357816771715038,0.03698306396165788
66,4226,8618351,0.017424585684052186,0.03507750134885476
71,4831,11281201,0.016628253130088012,0.03345657734745661
76,5551,14919001,0.0158306554303731,0.03183572344884765
81,6321,19374401,0.015094953850754402,0.03034331012041081
86,7141,24761776,0.014416719919788023,0.028969419475554824
91,8011,31197127,0.013882632451406654,0.027886612223719097
96,8836,38001331,0.013270808583593887,0.026651774277387255
101,9801,46806651,0.012733235275461949,0.02556589245762142
106,10816,57061621,0.012234872222501839,0.024559929362777087
111,11881,68915295,0.011786675940047136,0.023655528840885377
116,12881,81070631,0.011387702908509111,0.022851265512266086
121,14041,96409441,0.010983530325874583,0.02203671119578479
126,15251,113829626,0.010605970469420961,0.021276115346071215
131,16511,133511561,0.010252622800206303,0.020564565776914522
136,17821,155631463,0.009958049711323986,0.019971092347155734
141,19041,177782711,0.0096456657573019,0.01934283391290678
146,20446,205110331,0.009351107876282025,0.018750208014717298
151,21901,235474726,0.009073574505041815,0.018191978379592803
156,23406,269086861,0.008822922064904266,0.01768781252199336
161,24801,302259201,0.008593218762610814,0.01722606390867759
166,26401,342681076,0.008357557410197405,0.01675235763855933
171,28051,387028801,0.00813424355006828,0.016303555241905413
176,29751,435548751,0.007922353632694303,0.015877785891791354
181,31501,488475469,0.007740532969193659,0.015512318523431493
186,33116,540052001,0.007552619392000282,0.015134978638492698
191,34961,602128526,0.007369258258288422,0.014766697441108718
196,36856,669409651,0.0071944719566100395,0.014415685402111926
201,38801,742166362,0.007035745376184413,0.014096899971204134
206,40796,820689797,0.006889934018301031,0.013804041876148192
211,42631,896461441,0.006734689637028554,0.013492519887228575
216,44721,986807861,0.00658813568392773,0.013198337101244666
221,46861,1083814615,0.006449155983675848,0.012919375978448803
226,49051,1187781880,0.006325193972800674,0.012670516576687836
231,51061,1287447886,0.006200067132584107,0.012419475455598178
236,53346,1405608321,0.0060754666622036615,0.012169450749317358
241,55681,1531721881,0.005955733380366458,0.011929211966243481
246,58066,1666117683,0.005846524536470838,0.01171006918679166
251,60501,1809163323,0.005743182178597967,0.01150270288543703
256,62731,1945408771,0.005636443247356025,0.011288647623219116
261,65261,2105933441,0.005533136862353643,0.011081427010329475
266,67841,2276184146,0.005435530926708866,0.010885641744018636
271,70471,2456534131,0.005345534509333362,0.010705107344966266
276,72876,2627539751,0.0052563364408888605,0.010526250379851438
281,75601,2828227501,0.005166309444872348,0.010345709381809858
286,78376,3040197601,0.005079296139882964,0.010171221512930251
291,81201,3263835409,0.004999663233409454,0.010011518293048966
296,84076,3499588759,0.004922795678954544,0.009857368115032227
301,86701,3722112001,0.00484493711934837,0.009701296237333004
306,89671,3982102876,0.004768284715673615,0.009547614834935514
311,92691,4255464297,0.004696022001111713,0.00940273109448595
316,95761,4542646357,0.0046278539621275976,0.009266053826513666
321,98881,4844126367,0.0045614862405461785,0.009132993283943422
326,101726,5127594551,0.004493059760420404,0.008995861417097252
331,104941,5457550735,0.004427287453983422,0.008864019605276711
336,108206,5803144825,0.004366419709808432,0.008742000260972604
341,111521,6164899790,0.004307085082839594,0.008623059764411585
346,114541,6504090766,0.004247797318161934,0.00850425088822591
351,117951,6897944201,0.004188697755226812,0.008385802511644698
356,121411,7309391503,0.004133063084376238,0.008274294503627374
361,124921,7738963393,0.0040796976683236,0.008167335015844325
366,128481,8187198508,0.004027606040747396,0.008062932577657044
371,131721,8606248656,0.003974673649550029,0.007956878695925955
376,135376,9091426531,0.003923472776889049,0.007854274369267038
381,139081,9596801916,0.0038752174798140707,0.007757569236997179
386,142836,10122960801,0.0038280647263090575,0.0076630768392934685
391,146251,10613795401,0.003781418350212925,0.007569622502762226
396,150101,11181016151,0.0037344780763944175,0.0074755685299979805
401,154001,11770632899,0.003690334157252034,0.0073871138108722026
406,157951,12383260774,0.003647448118456307,0.007301181089929752
411,161951,13019497849,0.003605493966827707,0.007217118077229228
416,165586,13611659701,0.0035633313626211105,0.007132658807889257
421,169681,14294406682,0.0035223485809472523,0.007050549021861019
426,173826,15002493367,0.0034831740884140225,0.006972060946718932
431,178021,15736566877,0.00344481721144309,0.006895213005115214
436,182266,16497255337,0.00340725443523933,0.006819957939652617
441,186121,17203806405,0.00336903743383487,0.0067434114851847695
446,190461,18016786320,0.003333111845171755,0.006671439081215756
451,194851,18858244735,0.0032979075263513814,0.006600913302579323
456,199291,19728839025,0.003263404413506914,0.006531793839915365
461,203321,20536228271,0.0032290298293091995,0.006462946202820902
466,207856,21464000173,0.0031954870375804365,0.006395754328055531
471,212441,22422836563,0.0031630611542771514,0.006330799697571971
476,217076,23413443803,0.0031312575233219497,0.006267092857673872
481,221761,24436516018,0.0031000594783928185,0.0062046003371891475
486,226011,25383728266,0.0030688099304115434,0.006142017248484535
491,230791,26470380301,0.003038845441395824,0.00608199745454941
496,235621,27591552211,0.003009435671323298,0.006023089883906145
